"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4680","Пользователь создает статью @ui","chromium","Fri Oct 31 23:00:25 UTC 2025","passed","Fri Oct 31 23:00:29 UTC 2025","Тесты статей @ui","articles.spec.js","",""
"","32","11/POST /todos (400) title too long @api","chromium","Fri Oct 31 23:00:24 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
"","3501","Пользователь ищет статьи по тегу @ui","chromium","Fri Oct 31 23:00:42 UTC 2025","passed","Fri Oct 31 23:00:45 UTC 2025","Тест поиска по тегам @ui","tags.spec.js","",""
"","31","06/GET /todos/{id} (404) @api","chromium","Fri Oct 31 23:00:23 UTC 2025","passed","Fri Oct 31 23:00:23 UTC 2025","POST /challenger @api","api.spec.js","",""
"","4109","Пользователь лайкает статью @ui","chromium","Fri Oct 31 23:00:35 UTC 2025","passed","Fri Oct 31 23:00:39 UTC 2025","Тесты статей @ui","articles.spec.js","",""
"","32","28/GET /todos (200) XML pref @api","chromium","Fri Oct 31 23:00:24 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
"","31","30/GET /todos (406) @api","chromium","Fri Oct 31 23:00:25 UTC 2025","passed","Fri Oct 31 23:00:25 UTC 2025","POST /challenger @api","api.spec.js","",""
"","31","22/PUT /todos/{id} no amend id (400) @api","chromium","Fri Oct 31 23:00:24 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
"","43","19/PUT /todos/{id} full (200) @api","chromium","Fri Oct 31 23:00:24 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
"","30","08/HEAD /todos (200) @api","chromium","Fri Oct 31 23:00:24 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
"","36","24/OPTIONS /todos (200) @api","chromium","Fri Oct 31 23:00:24 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
"","30","04/GET /todo (404) not plural @api","chromium","Fri Oct 31 23:00:23 UTC 2025","passed","Fri Oct 31 23:00:23 UTC 2025","POST /challenger @api","api.spec.js","",""
"","40","07/GET /todos (200) ?filter @api","chromium","Fri Oct 31 23:00:23 UTC 2025","passed","Fri Oct 31 23:00:24 UTC 2025","POST /challenger @api","api.spec.js","",""
